id	total_listens
01rMxQv6vhyE1oQX	1491
02ZnlCGZEbkfCDxo	2655
04OjszRi9rC5BlHC	21909
04iitW3ffa0mhpx3	14216
04xUDjAYC14jsHyH	3905
06HvNTU9M9lnH71I	2868
06WySIW5UDIHF2Ri	1384
07bR4m5Oo4lvHJFW	13078
08dDspNuBDh8GOqV	3995
09mWmQm7ixF4cCjx	5853
0AUV4mCpGOuuWNUX	8108
0BVyGvdW4ntQDEcu	10624
0DMABfx807TVXBQO	1596
0DNKXcAGmMYmJdjP	7062
0DXkmUpDJT0AyerU	9237
0E1zWP8MXmbXfTTX	5276
0EVEKKlvBiB0Dkge	3434
0Ev84ceMs40159oJ	29428
0F5ITSxH0rBegwve	4168
0IqeNloQ3SuH1b4V	4001
0JYaNceX5H5sSUJi	941
0K2vsBA9smDZxKno	2045
0KrfpITRYCMTHZno	207
0KtUZOqkXcs5Q4Cn	4686
0LZdcvMJHDWZyVDS	2280
0MMDu3QYnVUgnX2L	2434
0MWOdRTVAx0staZz	12208
0MXDGjV7Qg5AEpGu	2289
0NTv0wWYCzQNjE0m	172
0NaOCGE2Lkzbils9	581
0NlLsUEZeTNagO3r	2042
0O17o38iEPkl4FWD	12554
0OuXKk7qlgvo6egK	337
0PUlgI5adBJ6cFXK	2041
0QSQ3CDT5x4GRIgi	6202
0QSuci5nyuRojGbo	2349
0RswMLgk4KS4GbIP	3584
0SpykgFTUzfUTJkN	9408
0TanEa2QCnKAedsL	1101
0UHzuflmmfXZkZNQ	3995
0Vbfs25K0D6Yuq5T	7581
0Wc7JGEjjUDM4vp2	2262
0We9TRA5zyjS7ush	15322
0WjgTnhITQmzuoOc	1200
0WnFjxBFNLqMCT1i	414
0XSKxF0xHVJYLAEi	10826
0Y5TcGlWJnW7IVdK	32527
0YtkHiVwDlsMHXy0	3125
0ZLbSoXXsKlXYZ7a	3544
0ZeUa6hsJJrS2bI4	9006
0Zhw8ngsZeMvxZM3	2024
0cILD6qbZYSF6Bdd	7468
0eQ9qGzhU6U8qBAh	2634
0ea5Bpmf3b40M50R	5478
0h8G1bhVFVP6G9Km	35604
0hKlEmVgAORW1A02	2812
0hhgAPscs36TcQI6	1332
0hi5FGoizAXxin1K	328
0iBn5ZIwJYlSCtBX	428
0iPuXAAtTUIXMSDs	1388
0ihMyBXgcgrOCMul	165
0irmqbfjWHaiup6x	1252
0itcRwcX5ZAVrFXa	1161
0jfEVJ5elKCKz8PO	1266
0kAx1WluUmlF8EYA	33650
0kFhN9KUu2eVeiqw	487
0kSdTqYxL1L8fe9n	457
0mdmLBCg5qRqO9kw	10305
0msRtMDKZpd0neIK	1045
0mwlDzSl5gaOYcfD	2070
0novBfJngoToX8QJ	1963
0nroJEydVX4uCwDo	8660
0nwyK0P4QLADxbSz	4261
0o1t8pmtIQGVNoRX	273
0ou8VbSYp9yIzeQh	4052
0qJbxD3hsFTAtT2H	2404
0rmouv9XbAHY2XBZ	5266
0roDBBFUmgkbD7Zg	29809
0rplhtI8mUMSa59h	4256
0sgehyyNEKd2ar50	3693
0t0o0WxzpYbzReYl	5950
0tYzcqyF8P0wgFFv	3054
0tbwoDIA62N3G9Sh	14705
0tzYEg8KodbJHl8p	15434
0uGDI02BHiiupFg4	1021
0vTCI3MyJ8ySMrWj	8788
0wuI3sWE1sY7j72q	4620
0zhmog3KHJTjp2BX	5462
0zmrxUHKXRslsrVe	3971
0zoJxZanHfdvKNJ9	1348
0zojNJCp12ghZn9s	3861
10E4iAVRq4bJcMBe	5450
122YR0dLpuw1XTjl	355
12OPaZ5O3qlPLbh0	5443
1424LaVTdRfu6RZc	3271
14tPVH5PvwXXbUG2	616
159TkX0wFyWdjhSF	2517
15IMBIdwhKut5kF5	3336
15IkVxmtBqsnmRND	1669
15Zipf9NzLs5CoFL	2897
15blZOCUg63HosU3	6947
15oQvCP96HHSz0XJ	868
15tLvTjDxU197oBT	7716
16RyPaV6dHRot8sb	44989
16jxfd07xBklQSCr	806
19qh48VRL4dKYaq7	2547
1BTGGLZkHXG7m2I5	3724
1BxOomemaljnipHN	2739
1CCSNgcHsP1fqhiE	6191
1D1TsRmNu7OYSnlG	1763
1En5gzdgbSFWrbHA	7847
1FHsbrJnBPPP0g0k	260
1FlqCWlOLqMfibbg	3604
1GxSKmrbSnZvDIJO	733
1HNbB2jYOPVyrBwZ	1292
1IBHNIcbKXId8a0X	9729
1IVJoqcfyL51u825	1229
1JFk1KCd5RcO71wq	6163
1JdR8MUN8KuSqrym	6944
1Jp0SeFFOQ4i6y3R	664
1JqyrPMpUssfwQFA	116
1JsRL3O4FexW31yz	2379
1KYWPzVvo2COw53Y	1237
1L5YgJUNjt0kE3rf	804
1LIU230Djug8BC9l	2704
1LT0r4NH6Fnd3PmQ	4875
1LVCIU4fWhE8ms3W	15433
1Ms0rf2jUwBxuECj	1457
1Mzdkzp94lWU1VP8	160
1NbQrEAwwvXGqD2n	1570
1NmthD0bJAk8r1ZC	535
1NqEMzdMVUt7GvP3	28721
1OAeEHzoQXvoQOOz	12163
1PYQMBk8LERTncVr	799
1Pfvty4majWz07HO	1770
1QQlmxo1sN75uIaW	713
1QvEYR38ignsKr7b	5258
1Rehvis6TPbGd7Je	1631
1SxZLIiC4YM6zzO7	11308
1TBoK8eQ9EG9TULK	7443
1TKUB7W3vmrtq7Ak	26722
1UF8e5PqXKb5srFA	2107
1VGASJntDh6QN0sA	733
1VtWYqp59eTfRKXY	47258
1X4o7EXEj1waNaWF	1401
1XAwfc2P5qzSe9SF	1822
1XWVVvhUWhjBTVBH	1402
1XZP3bEawLbWfSkM	83576
1YOagKsFqTS8BDK2	7523
